miRNA_ID	miRNA_region
hsa-let-7a-1	mature
hsa-let-7a-3	mature
hsa-let-7c	mature
hsa-let-7d	mature
hsa-let-7f-1	mature
hsa-let-7i	mature
hsa-mir-1-2	mature
hsa-mir-101-1	mature
hsa-mir-101-2	mature
hsa-mir-103-1	mature
hsa-mir-106a	mature
hsa-mir-107	mature
hsa-mir-10b	mature
hsa-mir-1180	mature
hsa-mir-1185-2	mature
hsa-mir-1224	mature
hsa-mir-1226	mature
hsa-mir-1229	mature
hsa-mir-1237	mature
hsa-mir-1248	mature
hsa-mir-1249	mature
hsa-mir-1250	mature
hsa-mir-1251	mature
hsa-mir-1254	mature
hsa-mir-1258	mature
hsa-mir-1262	mature
hsa-mir-1266	mature
hsa-mir-1269	mature
hsa-mir-127	mature
hsa-mir-1270-1	mature
hsa-mir-1270-2	mature
hsa-mir-1271	mature
hsa-mir-1274b	mature
hsa-mir-1275	mature
hsa-mir-1277	mature
hsa-mir-128-2	mature
hsa-mir-1284	mature
hsa-mir-1288	mature
hsa-mir-129-1	mature
hsa-mir-129-2	mature
hsa-mir-1292	mature
hsa-mir-1295	mature
hsa-mir-1296	mature
hsa-mir-1301	mature
hsa-mir-1307	mature
hsa-mir-132	mature
hsa-mir-133a-1	mature
hsa-mir-133b	mature
hsa-mir-134	mature
hsa-mir-135a-1	mature
hsa-mir-135b	mature
hsa-mir-138-1	mature
hsa-mir-138-2	mature
hsa-mir-139	mature
hsa-mir-140	mature
hsa-mir-144	mature
hsa-mir-1468	mature
hsa-mir-146a	mature
hsa-mir-146b	mature
hsa-mir-148a	mature
hsa-mir-149	mature
hsa-mir-151	mature
hsa-mir-152	mature
hsa-mir-153-1	mature
hsa-mir-153-2	mature
hsa-mir-1538	mature
hsa-mir-155	mature
hsa-mir-15a	mature
hsa-mir-16-2	mature
hsa-mir-17	mature
hsa-mir-181b-2	mature
hsa-mir-181c	mature
hsa-mir-181d	mature
hsa-mir-182	mature
hsa-mir-184	mature
hsa-mir-185	mature
hsa-mir-186	mature
hsa-mir-187	mature
hsa-mir-188	mature
hsa-mir-18a	mature
hsa-mir-18b	mature
hsa-mir-190b	mature
hsa-mir-1911	mature
hsa-mir-192	mature
hsa-mir-193a	mature
hsa-mir-194-1	mature
hsa-mir-196a-1	mature
hsa-mir-196a-2	mature
hsa-mir-196b	mature
hsa-mir-1976	mature
hsa-mir-199a-1	mature
hsa-mir-199a-2	mature
hsa-mir-199b	mature
hsa-mir-19b-2	mature
hsa-mir-202	mature
hsa-mir-203	mature
hsa-mir-204	mature
hsa-mir-205	mature
hsa-mir-20a	mature
hsa-mir-210	mature
hsa-mir-211	mature
hsa-mir-212	mature
hsa-mir-214	mature
hsa-mir-215	mature
hsa-mir-217	mature
hsa-mir-218-2	mature
hsa-mir-219-1	mature
hsa-mir-22	mature
hsa-mir-221	mature
hsa-mir-222	mature
hsa-mir-2277	mature
hsa-mir-2355	mature
hsa-mir-23a	mature
hsa-mir-23c	mature
hsa-mir-24-2	mature
hsa-mir-25	mature
hsa-mir-27a	mature
hsa-mir-28	mature
hsa-mir-296	mature
hsa-mir-29a	mature
hsa-mir-29b-1	mature
hsa-mir-29b-2	mature
hsa-mir-29c	mature
hsa-mir-301a	mature
hsa-mir-3065	mature
hsa-mir-30c-1	mature
hsa-mir-30e	mature
hsa-mir-3117	mature
hsa-mir-3126	mature
hsa-mir-3127	mature
hsa-mir-3129	mature
hsa-mir-3130-1	mature
hsa-mir-3136	mature
hsa-mir-3137	mature
hsa-mir-3150b	mature
hsa-mir-3156-1	mature
hsa-mir-3156-2	mature
hsa-mir-3156-3	mature
hsa-mir-3157	mature
hsa-mir-3170	mature
hsa-mir-3176	mature
hsa-mir-3177	mature
hsa-mir-3189	mature
hsa-mir-3191	mature
hsa-mir-3192	mature
hsa-mir-3199-2	mature
hsa-mir-3200	mature
hsa-mir-320a	mature
hsa-mir-320b-2	mature
hsa-mir-320c-1	mature
hsa-mir-320c-2	mature
hsa-mir-320d-1	mature
hsa-mir-320d-2	mature
hsa-mir-320e	mature
hsa-mir-323	mature
hsa-mir-323b	mature
hsa-mir-324	mature
hsa-mir-326	mature
hsa-mir-328	mature
hsa-mir-330	mature
hsa-mir-335	mature
hsa-mir-337	mature
hsa-mir-338	mature
hsa-mir-339	mature
hsa-mir-345	mature
hsa-mir-34c	mature
hsa-mir-3605	mature
hsa-mir-3607	mature
hsa-mir-361	mature
hsa-mir-3610	mature
hsa-mir-3613	mature
hsa-mir-3614	mature
hsa-mir-3615	mature
hsa-mir-3619	mature
hsa-mir-362	mature
hsa-mir-3622b	mature
hsa-mir-363	mature
hsa-mir-3647	mature
hsa-mir-3651	mature
hsa-mir-3652	mature
hsa-mir-3653	mature
hsa-mir-3662	mature
hsa-mir-3664	mature
hsa-mir-3678	mature
hsa-mir-3679	mature
hsa-mir-3682	mature
hsa-mir-369	mature
hsa-mir-371	mature
hsa-mir-374c	mature
hsa-mir-375	mature
hsa-mir-378c	mature
hsa-mir-379	mature
hsa-mir-3910-2	mature
hsa-mir-3913-1	mature
hsa-mir-3917	mature
hsa-mir-3922	mature
hsa-mir-3926-2	mature
hsa-mir-3928	mature
hsa-mir-3934	mature
hsa-mir-3944	mature
hsa-mir-409	mature
hsa-mir-410	mature
hsa-mir-411	mature
hsa-mir-421	mature
hsa-mir-423	mature
hsa-mir-432	mature
hsa-mir-4326	mature
hsa-mir-433	mature
hsa-mir-449a	mature
hsa-mir-449b	mature
hsa-mir-450a-2	mature
hsa-mir-450b	mature
hsa-mir-451	mature
hsa-mir-454	mature
hsa-mir-455	mature
hsa-mir-483	mature
hsa-mir-484	mature
hsa-mir-485	mature
hsa-mir-486	mature
hsa-mir-487b	mature
hsa-mir-489	mature
hsa-mir-491	mature
hsa-mir-495	mature
hsa-mir-497	mature
hsa-mir-499	mature
hsa-mir-500a	mature
hsa-mir-500b	mature
hsa-mir-501	mature
hsa-mir-502	mature
hsa-mir-504	mature
hsa-mir-505	mature
hsa-mir-508	mature
hsa-mir-509-1	mature
hsa-mir-509-2	mature
hsa-mir-509-3	mature
hsa-mir-511-1	mature
